"Date","NVDA","GOOG","MSFT","META","TSM","ORCL","PLTR","SMCI","EQIX","TSLA","ISRG","AMZN"
"2021-02-05",13.5521516799927,104.045791625977,231.871307373047,266.012451171875,117.170692443848,59.1859130859375,34.0499992370605,3.1949999332428,681.341613769531,284.07666015625,254.08332824707,167.607498168945
"2021-02-08",14.3974828720093,103.793357849121,232.129776000977,264.504333496094,121.544654846191,58.7299194335938,36.0499992370605,3.38000011444092,675.127014160156,287.806671142578,256.663330078125,166.147003173828
"2021-02-09",14.2224807739258,103.327186584473,233.374313354492,267.351959228516,121.663848876953,59.2510528564453,38.1699981689453,3.39000010490417,677.890991210938,283.1533203125,259.783325195312,165.25
"2021-02-10",14.7220506668091,103.915855407715,232.464859008789,269.753143310547,122.590042114258,58.8788261413574,35.7000007629395,3.37199997901917,678.369812011719,268.273345947266,262.696655273438,164.328994750977
"2021-02-11",15.2071590423584,103.941146850586,234.06364440918,268.284637451172,127.605865478516,58.3483772277832,33.1100006103516,3.42199993133545,648.290283203125,270.553344726562,266.276672363281,163.106506347656
"2021-02-12",14.9184856414795,104.348808288574,234.54231262207,268.393829345703,126.597137451172,58.7020111083984,31.9099998474121,3.1949999332428,641.163269042969,272.040008544922,269.269989013672,163.885498046875
"2021-02-16",15.286431312561,105.231063842773,233.307327270508,271.836791992188,128.421951293945,57.8272399902344,27.8400001525879,3.19300007820129,621.543823242188,265.406677246094,263.983337402344,163.447494506836
"2021-02-17",14.8633937835693,105.548942565918,234.324432373047,271.439910888672,124.955787658691,57.7807197570801,27.0799999237061,3.15300011634827,627.270690917969,266.049987792969,260.019989013672,165.432006835938
"2021-02-18",14.7866134643555,104.997978210449,233.930999755859,267.292449951172,123.45198059082,57.7620964050293,25.1700000762939,3.16300010681152,619.258483886719,262.459991455078,255.843338012695,166.411499023438
"2021-02-19",14.8838357925415,104.201499938965,231.225082397461,259.523406982422,125.313430786133,56.8873329162598,29,3.16799998283386,614.434875488281,260.433319091797,250.050003051758,162.494995117188
"2021-02-22",14.31471824646,102.403282165527,225.026321411133,258.302917480469,122.479957580566,59.9769172668457,28,3.17799997329712,602.800659179688,238.16667175293,247.133331298828,159.037002563477
"2021-02-23",14.101580619812,102.699836730957,223.836486816406,263.789947509766,118.38111114502,60.0234451293945,26.75,3.26399993896484,597.675048828125,232.946670532227,248.236663818359,159.725006103516
"2021-02-24",14.4575567245483,103.905448913574,225.064697265625,262.251983642578,121.315414428711,60.2095680236816,26.3899993896484,3.36999988555908,579.694519042969,247.339996337891,252.903335571289,157.976501464844
"2021-02-25",13.2694635391235,100.740921020508,219.729583740234,252.706878662109,115.538505554199,60.7679405212402,23.9599990844727,3.25,579.123046875,227.406661987305,247.263336181641,152.858001708984
"2021-02-26",13.6753025054932,101.013679504395,222.982467651367,255.614028930664,115.48348236084,60.0327568054199,23.8999996185303,3.26300001144409,588.167663574219,225.16667175293,245.600006103516,154.646499633789
"2021-03-01",13.8021879196167,103.228004455566,227.358062744141,262.847351074219,118.408630371094,61.5775413513184,24.8099994659424,3.42700004577637,588.095031738281,239.476669311523,253.070007324219,157.307006835938
"2021-03-02",13.3679294586182,102.946815490723,224.412216186523,256.983306884766,115.538505554199,62.0335273742676,24.4799995422363,3.40799999237061,580.647155761719,228.813339233398,250,154.726501464844
"2021-03-03",12.7681493759155,100.510322570801,218.357360839844,253.421279907227,112.686706542969,62.266185760498,23.5900001525879,3.36199998855591,554.6015625,217.733337402344,242.383331298828,150.25
"2021-03-04",12.3348903656006,101.620208740234,217.560943603516,255.633941650391,105.992813110352,61.0564193725586,24.7299995422363,3.26200008392334,547.552795410156,207.146667480469,236.389999389648,148.878494262695
"2021-03-05",12.4258804321289,104.568504333496,222.234024047852,262.222229003906,110.77025604248,65.1138153076172,23.9500007629395,3.39100003242493,553.89404296875,199.316665649414,237.789993286133,150.022994995117
"2021-03-08",11.560112953186,100.384353637695,218.194229125977,253.322052001953,104.470634460449,67.1518020629883,22.5200004577637,3.45499992370605,539.705505371094,187.66667175293,228.300003051758,147.597503662109
"2021-03-09",12.4887733459473,101.79923248291,224.325866699219,263.6708984375,106.717231750488,67.5984954833984,24.2600002288818,3.43199992179871,564.916442871094,224.526672363281,234.266662597656,153.142501831055
"2021-03-10",12.4369049072266,101.91478729248,223.020858764648,262.837371826172,104.378952026367,67.1145935058594,24.75,3.5699999332428,579.422302246094,222.686660766602,239.936660766602,152.88200378418
"2021-03-11",12.9608335494995,104.877479553223,227.540374755859,271.747497558594,110.568504333496,62.7314949035645,26.7299995422363,3.58100008964539,593.837707519531,233.199996948242,244,155.679504394531
"2021-03-12",12.8236789703369,102.256469726562,226.216171264648,266.310180664062,108.477821350098,62.4988288879395,26.9200000762939,3.64599990844727,606.003112792969,231.24333190918,244.663330078125,154.474502563477
"2021-03-15",13.1580858230591,102.483116149902,225.314178466797,271.618469238281,109.19303894043,63.0292816162109,26.7900009155273,3.71000003814697,607.409240722656,235.979995727539,245.020004272461,154.083999633789
"2021-03-16",13.2578344345093,103.774017333984,228.096923828125,277.105407714844,109.440643310547,62.2103424072266,25.6100006103516,3.71399998664856,609.024169921875,225.626663208008,242.210006713867,154.593002319336
"2021-03-17",13.3077087402344,103.702613830566,227.454010009766,281.798614501953,109.309936523438,61.624080657959,25.2099990844727,3.82999992370605,595.52490234375,233.936660766602,241.546661376953,156.786499023438
"2021-03-18",12.6905136108398,100.981941223145,221.389617919922,276.450592041016,105.388900756836,62.1079978942871,23.9799995422363,3.82299995422363,586.797790527344,217.720001220703,233.106674194336,151.399505615234
"2021-03-19",12.8134517669678,101.328109741211,221.034530639648,287.85107421875,104.58814239502,61.661304473877,24.3199996948242,3.85500001907349,592.449645996094,218.289993286133,235.830001831055,153.748001098633
"2021-03-22",13.1531000137329,101.099472045898,226.446487426758,291.254364013672,107.855659484863,61.7171363830566,24.2199993133545,3.89199995994568,604.814636230469,223.33332824707,238.24333190918,155.543502807617
"2021-03-23",13.0378894805908,101.812126159668,227.97216796875,288.367034912109,105.747871398926,62.6012001037598,23.2600002288818,3.76600003242493,613.051940917969,220.720001220703,236.940002441406,156.875
