state,year,quarter,DebtValue,Median_H_Inc,mean_AGI,MinWage,HPI,Delinquency_pct,Mean_Mpct,Med_Mpct,mean_CPI,ForeclosureRate,DTI_ratio,time
CA,2009,3,83.04674517737158,79240,63547.25,8,182.2,11.799407760233155,11.85361784616838,11.873393328056075,226.055,0.41,1.501499146429702,2009-07-01
CA,2009,4,81.36928860613071,79010,62434,8,174.39,12.637945535317638,11.664489725920033,11.55042498772746,224.49266666666668,0.34,1.5552506183090873,2009-10-01
CA,2010,1,80.15316812369048,78100,63213.5,8,172.9375,12.481234000360555,11.475361605671687,11.227456647398844,225.90433333333334,0.28,1.5414182762238173,2010-01-01
CA,2010,2,78.31925492744206,77190,63993,8,171.485,11.423228613569322,10.756260822813061,10.553045901698201,226.70166666666668,0.31,1.5401393719224545,2010-04-01
CA,2010,3,76.8418015938841,76280,64772.5,8,170.0325,10.888638838049651,10.037160039954436,9.878635155997557,227.21566666666666,0.29,1.5325776440227492,2010-07-01
CA,2010,4,74.73858205469115,75370,65552,8,168.58,10.52302466464734,9.318059257095813,9.204224410296915,227.053,0.27,1.5383944857307417,2010-10-01
CA,2011,1,75.27044973260114,74495,65879,8,166.07500000000002,9.477769931000282,8.598958474237188,8.529813664596272,230.568,0.224,1.502296361293964,2011-01-01
CA,2011,2,74.18910681630751,73620,66206,8,163.57,8.980579151885397,8.01231180439584,7.966110248447205,233.07466666666667,0.204,1.4988505130104128,2011-04-01
CA,2011,3,72.97452457839971,72745,66533,8,161.065,8.687999950830957,7.4256651345544915,7.402406832298136,233.81333333333333,0.176,1.4982861588414065,2011-07-01
CA,2011,4,71.63507535158075,71870,66860,8,158.56,8.428838060522075,6.839018464713144,6.838703416149068,233.56866666666667,0.192,1.5005675500559743,2011-10-01
CA,2012,1,70.92137990699686,72737.5,68720.5,8,158.45499999999998,7.704549640902091,6.252371794871795,6.275,236.52166666666668,0.165,1.4924331343402517,2012-01-01
CA,2012,2,69.65,73605,70581,8,158.35,7.28,5.638028846153846,5.62125,238.457,0.15,1.4972640223261076,2012-04-01
CA,2012,3,68.89,74472.5,72441.5,8,158.245,6.69,5.0236858974358976,4.9675,239.829,0.132,1.4922868567143432,2012-07-01
CA,2012,4,68.41,75340,74302,8,158.14,6.09,4.409342948717949,4.313750000000001,237.856,0.102,1.4821956062945525,2012-10-01
CA,2013,1,67.71,76345,73962.5,8,162.2925,5.88,3.795,3.66,240.85666666666665,0.065,1.5244605962653712,2013-01-01
CA,2013,2,66.93,77350,73623,8,166.445,5.12,3.3518749999999997,3.2262500000000003,242.65933333333334,0.072,1.5697337028861906,2013-04-01
CA,2013,3,63.8,78355,73283.5,8,170.5975,4.23,2.90875,2.7925,242.81666666666666,0.06,1.6758680961447592,2013-07-01
CA,2013,4,64.94,79360,72944,8,174.75,3.89,2.465625,2.35875,241.836,0.05,1.6753278187576324,2013-10-01
CA,2014,1,66.57,78982.5,74311.75,8.25,180.89,3.49,2.0225,1.925,244.62533333333334,0.04,1.5965952408638728,2014-01-01
CA,2014,2,65.99,78605,75679.5,8.5,187.03,3.1,1.868125,1.795,248.16233333333332,0.035,1.5739603566091376,2014-04-01
CA,2014,3,65.78,78227.5,77047.25,8.75,193.17000000000002,3.02,1.71375,1.665,248.054,0.031,1.5435064184793845,2014-07-01
CA,2014,4,65.45,77850,78415,9,199.31,3.04,1.559375,1.5350000000000001,245.93266666666668,0.033,1.5168750892333187,2014-10-01
CA,2015,1,65.38,78880,79375.25,9,202.19,3.09,1.405,1.405,248.048,0.03,1.5199765212186562,2015-01-01
CA,2015,2,65.04,79910,80335.5,9,205.07,2.89,1.2850000000000001,1.2875,252.066,0.025,1.5293718670890986,2015-04-01
CA,2015,3,65.85,80940,81295.75,9,207.95000000000002,2.65,1.165,1.17,252.32166666666666,0.024,1.5119574828925662,2015-07-01
CA,2015,4,65.51,81970,82256,9,210.83,2.4,1.045,1.0525,252.01033333333334,0.024,1.5211769958636456,2015-10-01
CA,2016,1,67.03,82747.5,82485.5,9.25,214.92000000000002,2.46,0.925,0.935,253.805,0.024,1.4966079603719662,2016-01-01
CA,2016,2,66.82,83525,82715,9.5,219.01,2.25,0.8868750000000001,0.88625,257.3093333333333,0.021,1.5112132019585325,2016-04-01
CA,2016,3,66.02,84302.5,82944.5,9.75,223.1,2.09,0.84875,0.8375,258.3016666666667,0.018,1.5394916594796788,2016-07-01
CA,2016,4,67.32,85080,83174,10,227.19,2.25,0.8106249999999999,0.7887500000000001,258.831,0.02,1.5194827912037336,2016-10-01
CA,2017,1,68.46,85780,84600.5,10.125,230.845,2.29,0.7725,0.74,221.4135,0.022,1.4810721559724442,2017-01-01
CA,2017,2,68.24,86480,86027,10.25,234.5,2.08,0.7124999999999999,0.68625,223.58374999999998,0.018,1.473132750069974,2017-04-01
CA,2017,3,68.93,87180,87453.5,10.375,238.155,2.1,0.6525,0.6325000000000001,224.279,0.019,1.44621010262177,2017-07-01
CA,2017,4,69.74,87880,88880,10.5,241.81,1.98,0.5925,0.57875,225.621,0.02,1.4177643746594335,2017-10-01
CA,2018,1,70.5,87582.5,90337.25,10.625,245.71,1.82,0.5325,0.525,228.8485,0.015,1.3751857229869264,2018-01-01
CA,2018,2,70.52,87285,91794.5,10.75,249.61,1.82,0.525,0.50875,231.727,0.017,1.3483748766832122,2018-04-01
CA,2018,3,71.55,86987.5,93251.75,10.875,253.51000000000002,1.89,0.5175000000000001,0.49250000000000005,232.64049999999997,0.015,1.3037376896854267,2018-07-01
CA,2018,4,71.47,86690,94709,11,257.41,1.85,0.51,0.47625,233.609,0.015,1.2807193458262274,2018-10-01
CA,2019,1,72.08,88682.5,93218.25,11.25,259.4925,1.7,0.5025000000000001,0.46,235.64774999999997,0.014,1.3198427890691153,2019-01-01
CA,2019,2,72.8,90675,91727.5,11.5,261.57500000000005,1.78,0.534375,0.5,238.55725,0.015,1.3578651051055728,2019-04-01
CA,2019,3,72.51,92667.5,90236.75,11.75,263.6575,1.96,0.56625,0.54,239.5605,0.016,1.416270132139799,2019-07-01
CA,2019,4,72.81,94660,88746,12,265.74,2.14,0.598125,0.58,239.6385,0.017,1.4649630863813827,2019-10-01
CA,2020,1,73.49,94280,89687.75,12,267.25,2.17,0.63,0.62,241.389,0.019,1.4304022924633337,2020-01-01
CA,2020,2,73.01,93900,90629.5,12,268.76,1.89,0.57375,0.56375,241.52675,0.005,1.4191021558436994,2020-04-01
CA,2020,3,72.81,93520,91571.25,12,270.27,1.72,0.5175000000000001,0.5075000000000001,243.1635,0.003,1.4026661760034795,2020-07-01
CA,2020,4,73.55,93140,92513,12,271.78,1.62,0.46125000000000005,0.45125000000000004,243.63575,0.003,1.3688340256631983,2020-10-01
CA,2021,1,73.45,93270,98634.75,12.25,280.3975,1.64,0.405,0.395,246.2415,0.003,1.2874199315204606,2021-01-01
CA,2021,2,75.52,93400,104756.5,12.5,289.015,1.46,0.37312500000000004,0.365,252.1275,0.002,1.1806030886639693,2021-04-01
CA,2021,3,77.21,93530,110878.25,12.75,297.6325,1.35,0.34125,0.335,254.65925,0.002,1.09252408293936,2021-07-01
CA,2021,4,78.53,93660,117000,13,306.25,1.34,0.30937499999999996,0.30500000000000005,258.948,0.002,1.0193719858816,2021-10-01
CA,2022,1,79.94,92977.5,115750,13.25,318.4475,1.25,0.27749999999999997,0.275,264.76975,0.005,1.004830296588532,2022-01-01
CA,2022,2,81.36,92295,114500,13.5,330.645,1.25,0.270625,0.265,273.79,0.008,0.9907446767399621,2022-04-01
CA,2022,3,83.06,91612.5,113250,13.75,342.84250000000003,1.04,0.26375,0.255,273.993,0.007,0.9739229440777671,2022-07-01
CA,2022,4,84.85,90930,112000,14,355.04,1.01,0.25687499999999996,0.24500000000000002,275.07375,0.007,0.9568355922215677,2022-10-01
CA,2023,1,85.09,91247.5,112750,14.375,356.7825,0.96,0.25,0.23500000000000001,279.435,0.008,0.9510993837488882,2023-01-01
CA,2023,2,83.33,91565,113500,14.75,358.525,0.95,0.29312499999999997,0.28,283.15325,0.008,0.9681268308001044,2023-04-01
CA,2023,3,84.05,91882.5,114250,15.125,360.2675,1.13,0.33625,0.325,285.22475,0.008,0.9568390181420093,2023-07-01
CA,2023,4,84.96,92200,115000,15.5,362.01,1.23,0.379375,0.37000000000000005,284.93125000000003,0.01,0.9436665847867028,2023-10-01
FL,2003,1,27.81088082901554,62862.5,47766.75,5.15,163.2375,3.2989455286446203,1.1983337582745444,1.1509026651608407,184.55,0.1,4.73207055353737,2003-01-01
FL,2003,2,28.34013341104851,62925,47973.5,5.15,166.625,3.3121402879341866,1.090893298445438,1.0501631210955031,184.05,0.07,4.628283245916788,2003-04-01
FL,2003,3,29.31522718496589,62987.5,48180.25,5.15,170.0125,2.736165751920966,0.9834528386163317,0.9494235770301656,185.85000000000002,0.07,4.4595604785908725,2003-07-01
